jeremić,a	jere,mi,ća
ekosistem,a	ekosistema
neodrživ,e	ne,odr,žive
prinos,ima	prin,o,sima
jevtin,ijim	jev,tini,jim
raširen,e	ra,šir,ene
pesticid,a	pesticida
priobalni,h	pri,ob,alnih
sliv,u	slivu
ulov,i	ul,ovi
šlep,ovi	š,lepo,vi
dopisnik,u	dopi,sniku
setimes,-a	se,ti,mes,-,a
ribar,a	ri,bara
šekip,a	š,ekipa
jalčin,a	j,al,čina
obalski,h	obal,skih
imejl,om	i,mej,lom
projekt,i	projekti
odgovor,u	odgovoru
otpad,a	otpada
projekt,e	projekte
seoski,h	seoskih
otpadni,m	otpad,nim
hranljiv,im	hran,ljivim
materija,ma	materi,jama
organizam,a	organizama
preteran,og	pretera,nog
pogoršan,om	pogor,šan,om
prečišćen,ih	prečišć,enih
kanalizacion,ih	kanali,za,cionih
nedomorodački,h	nedo,mo,ro,da,čkih
čvrst,og	čvrstog
azotni,h	azot,nih
fosforni,h	fos,for,nih
dunav,a	dunava
obalni,h	ob,alnih
more,m	mo,rem
tri,ma	trima
protokol,ima	proto,kolima
istanbul,u	istanbu,lu
navod,ima	navodima
hranljiv,ih	hran,ljivih
industrijski,h	industrijskih
autor,i	autori
produktivnost,i	produktivnosti
reka,ma	re,kama
sam,o	samo
hemijski,h	hemijskih
zagađivač,a	zagađi,vača
prisutnost,i	prisu,tnosti
povećan,i	poveć,ani
naftni,h	naf,tnih
gasni,h	ga,snih
kvartal,u	kvar,talu
uvoznik,a	uvoz,nika
zadužen,ih	zaduž,enih
kredit,i	krediti
udružen,i	udruž,eni
uvoz,a	uvoza
prijem,a	prijema
plan,ovi	planovi
eps,-a	eps,-,a
generator,a	generatora
kralj,a	kralja
abdulah,a	abdu,la,ha
abdulaziz,a	abdu,la,zi,za
konflikt,i	konflik,ti
dijalog,om	dijalo,gom
tajlandski,m	taj,lan,dskim
nitj,om	ni,t,jom
pibulsongram,om	pi,bul,son,gra,mom
abdulah,om	abdu,la,hom
gul,om	gu,lom
predsedavajući,m	predsed,ava,jućim
željko,m	že,lj,kom
komšić,em	kom,ši,ćem
bosanski,m	bosan,skim
sven,om	s,venom
alkalaj,em	al,kala,jem
milorad,om	milo,radom
živković,em	živ,kovićem
morski,h	mor,skih
vezan,im	vezanim
memorandum,u	memo,ran,du,mu
glasač,e	glasa,če
birač,i	bira,či
vladajući,m	vlada,jućim
glavni,m	glavnim
opozicioni,m	opozi,cionim
partija,ma	parti,jama
birač,ima	bira,čima
veton,a	ve,tona
suroi,ja	su,ro,ija
školovan,i	škol,ovani
jednak,e	jednake
minimum,om	mini,mu,mom
ugrožen,e	ugro,žene
žestok,om	žesto,kom
ahtisarijev,om	ah,ti,sa,rije,vom
protest,ima	prote,stima
hašim,a	ha,šima
pokret,a	pokreta
građanski,m	građan,skim
siv,oj	si,voj
dubok,oj	dubo,koj
habzburg,a	hab,z,burga
dominik,a	domini,ka
muzičar,i	muzi,čari
andre,a	andre,a
roland,a	ro,landa
viljazon,a	vil,ja,zona
žak,a	ž,aka
lusije,a	lu,sije,a
danijel,a	danijela
barenboim,a	bar,en,bo,ima
program,ima	programima
specijalizovan,om	specijaliz,ovanom
vrhunski,h	vrhun,skih
sprortist,a	s,pro,r,ti,sta
igra,ma	igrama
slovenka,ma	sloven,kama
igrač,em	igra,čem
turnir,u	turniru
komesar,a	kome,sara
katastrofa,ma	katastro,fa,ma
uveren,a	uver,ena
borisov,u	bori,s,ovu
ubedljiv,e	ubed,ljive
kabinet,u	kabine,tu
manuel,a	manu,ela
socijalistički,h	socijali,stičkih
ep,-a	ep,-,a
odgovor,i	odgovori
vezan,a	vezana
kvalifikovanost,i	kvalifikovan,osti
ltd,-om	l,td,-,om
nezakonit,ih	nezakoni,tih
koordinator,i	koordina,tori
rok,a	ro,ka
butiljone,a	b,uti,lj,one,a
ingrid,u	in,gri,du
nov,oj	novoj
ekološki,h	ekoloških
gerb,-a	g,er,b,-,a
dužnost,i	dužnosti
zamenik,u	zameni,ku
general,u	genera,lu
anju,u	a,nju,u
angelov,u	an,gel,ovu
ilijan,a	ili,jana
mihov,a	mi,hova
profesor,a	profesora
član,om	članom
haris,om	ha,ri,som
silajdžić,em	si,laj,dži,ćem
red,ovima	redovima
butmir,u	but,miru
političar,ima	politi,čarima
valentin,a	valen,tina
inck,a	in,cka
suveren,u	suver,enu
poziv,i	pozi,vi
stranački,m	stranač,kim
državni,m	državnim
ljutit,a	lju,ti,ta
pokušaj,em	pokuša,jem
nevladin,a	nevla,dina
kongres,a	kongresa
bošnjački,h	bošnja,čkih
davutoglu,a	dav,uto,glu,a
investicioni,m	investi,cionim
konj,a	konja
hleb,a	hleba
višenedeljni,h	viš,ene,de,lj,nih
jak,ih	jakih
obližnji,m	obliž,njim
nikicin,om	niki,cinom
kuća,ma	kućama
čuvar,a	ču,vara
vrt,a	vr,ta
bazen,a	bazena
dan,u	danu
kopnen,a	kopn,ena
čovek,a	čoveka
distanca,ma	distan,cama
jak,e	jake
zub,e	zube
okolni,h	okolnih
travnat,o	trav,na,to
dug,im	dugim
šetnja,ma	šet,njama
restoran,a	restorana
čuven,og	ču,venog
mlad,og	mladog
mužjak,a	mužjaka
udvarač,a	ud,va,rača
sam,og	samog
pažljiv,i	paž,ljivi
prgav,i	pr,g,avi
rep,om	re,pom
sečivo,m	se,či,vom
rotor,a	ro,tora
poplava,ma	popl,avama
nacrt,e	nacr,te
premijerov,im	premijer,ovim
vladajući,h	vlada,jućih
taričanu,om	ta,ri,čan,u,om
renov,e	ren,ove
taričanuov,u	ta,ri,čan,u,ovu
naoružan,om	naoruž,anom
bacač,a	ba,ca,ča
udaljen,o	udal,jeno
prozor,e	proz,ore
pazar,u	pazaru
incident,u	inciden,tu
širok,u	široku
ekstremistički,h	ekstremi,stičkih
naoružan,e	naoruž,ane
nemir,e	nemi,re
stanovništvo,m	stanovništvom
krasnići,ju	kra,sni,ći,ju
naoružan,oj	naoruž,anoj
arben,a	ar,bena
džaferi,ja	dža,fe,rija
krasnići,ja	kra,sni,ći,ja
razni,h	raznih
diktator,a	dikta,tora
nesposobnost,i	ne,sposobnosti
klos,i	klo,si
gradonačelnik,a	gradonačelnika
razlog,e	razloge
nacrt,a	nacrta
nasilje,m	nasil,jem
cilj,evima	ciljevima
bloger,i	blo,g,eri
zdravstven,og	zdravstvenog
osiguravajući,m	osigurava,jućim
raed,u	ra,e,du
arafat,u	ara,fa,tu
osnivač,u	osniva,ču
podsekretar,a	pod,sekretara
miroljubiv,e	miro,ljubi,ve
huligan,i	hu,lig,ani
stadion,ima	stadi,onima
zatvor,om	zat,vorom
okupljen,ima	okup,lj,enima
aerodrom,ima	aerodro,mima
automobil,e	automobile
rumun,i	rumuni
komentator,a	komenta,tora
arafat,a	ara,fa,ta
nepovezan,i	ne,povezani
zahtev,i	zahtevi
kemal,a	k,em,ala
burkaj,a	bur,ka,ja
egzil,a	eg,zila
aerodrom,u	aerodromu
kritičar,a	kritičara
kurdistan,a	kur,di,stana
kurdski,h	kur,dskih
raširen,ih	raši,renih
miroljubiv,u	miro,ljubi,vu
bozjelov,im	bo,z,je,lov,im
mir,u	miru
miroljubiv,im	miro,ljubi,vim
manjkav,a	manj,k,ava
taksim,u	tak,si,mu
kurd,ima	kur,dima
kurd,a	kur,da
realnost,i	realnosti
vakuum,a	vaku,uma
proces,om	procesom
vojvođanski,h	vojvođ,anskih
mađar,a	mađara
ujedinjen,u	ujedin,jenu
zakon,e	zakone
plav,a	plava
crven,im	crven,im
pruga,ma	pru,gama
žut,e	žute
državnost,i	držav,nosti
dom,ovima	dom,ovima
organizovan,im	organiz,ovanim
kriminal,om	krimin,alom
benzinski,h	benz,inskih
gigant,a	gigan,ta
let,ova	let,ova
star,om	starom
terminal,u	termin,alu
parking,e	parkin,ge
putnik,e	putnike
avionski,h	avi,on,skih
kabl,ova	kab,lova
izmir,u	iz,miru
dvostruk,im	dvostru,kim
rizik,om	rizikom
dvostruk,a	dvostru,ka
nered,e	ne,rede
trend,a	trenda
posledica,ma	posledicama
nedeljnik,u	nedelj,niku
euleks,-a	eu,le,ks,-,a
nemir,ima	nemi,rima
nered,ima	ne,re,dima
nemir,a	ne,mira
rizik,a	rizika
uhapšen,ima	uhap,š,enima
pregovarač,i	pregovara,či
naj,nov,ijih	najnovi,jih
admiral,om	ad,mi,ra,lom
heri,jem	he,rijem
ulrih,om	ul,ri,hom
komandant,om	komandan,tom
združen,ih	z,druž,enih
napulj,u	na,pu,lju
šestočlan,e	šesto,član,e
frenk,a	fren,ka
vizner,a	v,izne,ra
volfgang,a	vol,f,gan,ga
išinger,a	i,š,inge,ra
razgovor,ima	razgovorima
završen,im	završ,enim
loš,a	loša
rukovodstvo,m	rukovod,stvom
london,u	londonu
aspekt,e	aspekte
slab,iji	slabiji
kurs,a	kursa
dinar,a	dinara
imenitelj,a	imeni,telja
radovan,a	radov,ana
jelašić,a	je,la,šića
razlika,ma	razlikama
jelašićev,om	je,la,ši,ćevom
proizvod,ima	proizvodima
obojen,i	obo,jeni
kamion,i	kami,oni
porast,om	porastom
jeftin,og	jef,tin,og
devetocifren,e	deve,to,ci,fr,ene
pismenost,i	pismenosti
transparentnost,i	transparentnosti
vladin,og	vladin,og
kompjuterski,h	kompjuter,skih
starosni,h	staro,snih
čas,ovi	ča,sovi
vindovs,u	vin,dov,su
vord,u	vor,du
eksel,u	ek,selu
osnov,e	osnove
it,-a	it,-,a
kompjuter,ima	kompju,terima
kompjuter,u	kompju,teru
instruktor,e	instruk,tore
prostorija,ma	prostorijama
unutrašnjost,i	unutrašnjosti
pristup,a	pristupa
ugovor,e	ugovore
udar,u	udaru
urađen,o	urađeno
provajder,a	prova,j,dera
trud,a	truda
čin,ovi	čin,ovi
prav,im	pravim
islam,om	isla,mom
motiv,e	motive
okolnost,i	okolnosti
neprihvatljiv,u	neprihvatlji,vu
islam,a	is,lama
nametanje,m	namet,anjem
nevin,ih	nev,inih
korist,i	koristi
nadzor,u	nadzor,u
cerić,a	ce,ri,ća
imam,ima	ima,mima
cerićev,a	ce,ri,ćeva
praznik,a	praznika
čin,ove	čin,ove
čestit,im	česti,tim
islamski,m	isla,mskim
bošnjak,a	boš,njaka
vernik,e	ver,nike
islam,u	isla,mu
devijacija,ma	devija,cijama
amerikanac,a	ameri,kanaca
musliman,ima	musliman,ima
tražilac,a	traži,laca
imigrant,i	i,migran,ti
sunarodnik,a	su,narod,nika
tunis,a	t,uni,sa
afrički,h	afri,čkih
azijski,h	azi,jskih
azilant,e	az,il,an,te
zabrinut,o	zabrinu,to
poznat,om	poznatom
sekretarijat,a	sekretarija,ta
učenik,a	učenika
čas,ovima	časovima
komesarijat,a	kome,sa,rija,ta
neiskorišćen,e	ne,iskorišć,ene
solidarnost,i	solidarnosti
protest,u	prote,stu
zapaljiv,u	zapal,ji,vu
okolnost,ima	okolnostima
avganistan,a	avgani,stana
most,u	mo,stu
mešovit,a	mešovi,ta
kfor,-om	k,fo,r,-,om
incident,a	inciden,ta
miroljubiv,oj	miro,ljubi,voj
napetost,i	nape,tosti
višemesečni,h	više,mese,čnih
sever,a	severa
kamion,a	kami,ona
punkt,a	pun,kta
izolovan,o	izol,ovano
ninić,a	n,ini,ća
miroljubiv,o	miro,ljubi,vo
međuetnički,h	među,etničkih
nerešen,a	ne,reš,ena
strpljenje,m	str,plj,enjem
komitet,a	komiteta
svemir,a	sve,mira
telefon,i	telefo,ni
bolnica,ma	bol,nicama
prunariju,a	pru,na,ri,ju,a
salcburg,u	sal,c,burgu
istraživač,a	istraživača
slučaj,eve	slučajeve
naj,nov,iju	najnovi,ju
poremećaj,a	poremećaja
pacijentov,a	pacijen,tova
naučnik,a	naučnika
primerak,a	primeraka
nepoznat,a	nepoznata
inostranstvo,m	inostran,stvom
okvir,a	okvira
standard,e	standarde
ministrov,im	mini,str,ovim
star,oj	staroj
parivodićev,im	pari,vodi,ćevim
kreditor,a	kredi,tora
dug,ova	du,gova
ubrzavanje,m	ubr,zav,anjem
miodrag,a	miodra,ga
privatizovan,ih	privati,z,ovanih
paket,a	paketa
tender,a	ten,dera
predviđen,im	predviđ,enim
špediterski,h	š,pedi,ter,skih
transportni,h	transportnih
postkomunistički,h	post,komuni,stičkih
mesec,u	mesecu
zrelost,i	zrelosti
stepen,u	stepenu
kapital,om	kapit,alom
sastojak,a	sastojaka
resurs,e	resurse
prenategnutost,i	prena,te,gnu,tosti
saveznik,e	savez,nike
strateški,m	strateš,kim
obostran,oj	obo,stranoj
behtel,u	be,hte,lu
animozitet,i	ani,mo,zi,teti
sam,ih	samih
spor,om	spo,rom
zaliv,a	zali,va
kosorov,a	kos,or,ova
arbitražni,m	arbitraž,nim
upućivanje,m	upući,vanjem
izgubljen,o	izgub,ljeno
prevazilaženje,m	prevazilaž,enjem
zategnut,i	zate,gnuti
osetljiv,oj	osetlji,voj
ivanov,a	ivan,ova
zamah,u	zama,hu
obrt,u	obr,tu
odvojen,u	odvo,jenu
počast,ima	poča,stima
sejdijuov,og	se,j,di,ju,ovog
portparol,a	portparo,la
džavit,a	dž,avi,ta
bećiri,ja	be,ći,rija
narod,e	naro,de
bojan,a	bojana
milković,a	mil,kovića
ina,-e	ina,-,e
neosnovan,e	ne,osnovane
mmf,-om	mmf,-,om
zahtev,ima	zahtevima
produžen,i	produž,eni
investitor,e	investi,tore
resurs,ima	resursima
talas,u	tala,su
blag,im	bla,gim
naj,bogat,ijih	najboga,tijih
istorijski,h	istorijskih
sindikat,e	sindi,ka,te
industrijalac,a	industrij,alaca
poreski,h	poreskih
paket,om	pake,tom
aranžman,u	aranž,manu
dug,ih	dug,ih
jedinstven,om	jedinstven,om
budžet,u	budžetu
sindikat,i	sindi,kati
jedinstven,oj	jedinstven,oj
lek,ovi	lekovi
pdv,-a	pdv,-,a
jedinstven,a	jedinstvena
uticaj,a	uticaja
izdavač,a	izdavača
koncept,u	konceptu
tim,ove	tim,ove
imunitet,a	imuniteta
bos,ovima	bo,sovima
tročlan,oj	tro,član,oj
ubedljiv,og	ubed,ljivog
pobednik,a	pobednika
mafijaški,m	mafi,ja,škim
plamen,om	pla,menom
galev,im	gale,vim
angel,om	ange,lom
hristov,im	hrist,ovim
čuven,om	ču,venom
ozloglašen,i	oz,lo,glaš,eni
biznismen,i	bizni,s,meni
jugozapad,u	jugo,zapadu
mafijaš,a	mafi,ja,ša
šef,u	še,fu
firma,ma	firmama
biznismen,ima	bizni,smen,ima
zlatomir,u	zla,to,miru
petkov,a	pet,kova
čvrst,i	čvr,sti
tvrdnja,ma	tvrd,njama
dans,-a	dan,s,-,a
boris,u	bori,su
velčev,u	vel,če,vu
petkov,u	pet,kovu
cvetanov,a	cve,tan,ova
tanov,a	tan,ova
laž,ima	la,žima
kleveta,ma	kle,ve,tama
velčevljev,oj	vel,čev,lje,voj
optužba,ma	optuž,bama
glasanje,m	gla,sanjem
zbunjen,i	zbu,njeni
hancesti,ju	han,ce,stiju
kišinjev,a	k,iš,in,jeva
glasač,i	glasa,či
tabor,a	ta,bora
vidljiv,a	vidljiva
monitoring,a	monitoringa
komplikovan,o	kompli,kovano
kanal,e	kanale
čist,i	čisti
niz,om	nizom
masačusets,a	ma,saču,set,sa
nepravilnost,i	nepravilnosti
namešten,u	name,št,enu
napet,o	nape,to
širok,ih	širo,kih
prenos,a	prenosa
ohr,-a	o,hr,-,a
mir,a	mira
privremen,a	pri,vremena
zvaničnik,e	zvani,č,nike
prag,u	pra,gu
osoblje,m	osob,ljem
mostar,u	mo,staru
grad,ova	gradova
maksimum,a	maksimuma
kostas,om	ko,sta,som
karamanlis,om	kara,man,li,som
monitor,a	moni,tora
osnovni,m	osnovnim
srednji,m	srednjim
ćiril,a	ći,rila
dabi,ju	da,biju
fond,u	fon,du
fond,om	fon,dom
dužnički,h	duž,ničkih
nedaća,ma	ne,da,ćama
iznos,a	iznosa
efsf,-a	ef,sf,-,a
budžet,om	budže,tom
dogovoren,a	dogovor,ena
obim,u	obimu
esm,-a	e,sm,-,a
prilog,a	priloga
doprinos,u	doprin,osu
vašington,u	vašingtonu
cent,i	centi
izložen,om	izlož,enom
mlađan,a	mla,đana
dinkić,a	din,kića
dinkićev,og	din,ki,ćevog
slab,u	sla,bu
dinkićev,ih	din,ki,ćevih
sednica,ma	sed,nicama
tadićev,i	ta,di,će,vi
visok,u	visoku
preduslov,a	predu,slova
neiskren,a	ne,iskr,ena
sledeći,m	sledećim
propust,om	propu,stom
blag,og	bla,gog
akter,a	aktera
proces,i	procesi
prioritet,ima	priori,tetima
blag,i	bla,gi
davutogluov,im	dav,uto,glu,ovim
angažman,om	angaž,manom
balansiran,im	balansi,ranim
inicijativa,ma	inicija,tivama
posredovanje,m	posred,ovanjem
sad,-u	sad,-,u
potencijal,om	potencijal,om
mobiltel,a	m,obil,tela
operater,a	operatera
naslovljen,oj	naslov,ljenoj
savremen,u	savremen,u
praćen,u	pra,ćenu
odgovarajući,m	odgovarajućim
veština,ma	veštinama
pokretač,em	pokre,ta,čem
prezasićen,ih	pre,zasi,ćenih
povećan,om	povećanom
bdp,-u	bdp,-,u
ocena,ma	ocenama
metod,i	metodi
metod,a	metoda
vaučer,i	va,uče,ri
nerešen,i	ne,reš,eni
društven,oj	društvenoj
akcijski,h	ak,cijskih
sektor,e	sek,tore
signal,u	signal,u
vagon,i	va,goni
slep,im	sle,pim
šezdeseti,h	šezdesetih
jevtin,e	jev,tine
kratkovid,a	krat,kovida
deonica,ma	de,onicama
čitav,om	čitavom
voz,om	voz,om
razvijenost,i	razvijenosti
okup,u	okup,u
avion,i	avioni
primer,u	primeru
rat,ove	rat,ove
voz,ovima	voz,ovima
brz,e	brze
navodni,m	navod,nim
tretman,u	tretmanu
umanjivanje,m	uman,ji,vanjem
železnički,m	želez,ničkim
saobraćaj,em	saobraća,jem
ekspert,e	eksper,te
majdan,i	maj,dani
nepostojeći,h	ne,postojećih
jurišnik,a	juri,š,nika
lopov,a	lo,pova
direktor,i	direk,tori
džep,ova	dže,pova
koncert,i	koncer,ti
estradni,h	estra,dnih
aranžman,i	aranž,mani
kondukter,e	kon,duk,tere
skretničar,e	sk,ret,nič,are
polomljen,a	polo,m,ljena
lopov,i	lo,povi
nabavljač,i	nabav,lja,či
šraf,ove	š,raf,ove
teg,ove	te,gove
čekaonica,ma	čeka,onicama
postaja,ma	posta,jama
jeziv,u	jezi,vu
krov,a	krova
tip,ovi	tipovi
start,u	startu
leone,a	le,one,a
zapad,u	zapadu
odsustvo,m	odsu,stvom
zadovoljstvo,m	zadovolj,stvom
medijski,h	medijskih
vila,ma	vi,lama
jahta,ma	jah,tama
skupocen,im	sku,po,cen,im
automobil,ima	automobi,lima
nedefinisan,ih	nede,finis,anih
lik,ova	likova
uređen,ih	uređ,enih
rashod,e	ras,hod,e
način,u	načinu
naveden,e	navedene
odgovor,a	odgovora
uređen,im	uređ,enim
donošenje,m	donošenjem
serotonin,a	sero,ton,ina
ran,im	ranim
deficit,ima	defici,tima
hormon,a	hormona
miš,evima	miše,vima
miš,eva	miševa
neuron,a	neurona
hormon,om	hormo,nom
krv,i	krvi
tori,jem	t,ori,jem
takumi,jem	ta,ku,mi,jem
miš,evi	miše,vi
brk,ove	br,kove
brk,ova	br,kova
istraživač,ima	istraživa,čima
serotoninski,h	sero,ton,inskih
receptor,a	receptora
lek,ove	lekove
serototnin,a	sero,to,t,nina
star,i	stari
zanimljiv,iji	zanim,ljiviji
test,om	testom
kavez,a	kave,za
kavez,u	kave,zu
jedinka,ma	jedin,kama
izražen,ijim	izraž,enijim
neartikulisan,ih	ne,artikuli,sanih
zvuk,ova	zvu,kova
simptom,e	simptome
anksioznost,i	anksioznosti
takumi,ja	ta,ku,mija
senzacionalistički,m	sen,za,ciona,li,stičkim
genetski,m	gene,tskim
mutacija,ma	muta,cijama
poremećaj,ima	poremećajima
tip,a	tipa
višestruk,oj	višestru,koj
jezik,a	jezika
poznat,oj	pozna,toj
nacist,a	naci,sta
hitlerov,e	hit,ler,ove
naš,em	našem
vreme,nu	vremenu
klempererov,a	kle,m,pere,r,ova
reklamni,h	rekla,mnih
neograničen,u	ne,ogranič,enu
nesavladiv,u	ne,savla,di,vu
lažljiv,e	laž,ljive
nebrojen,om	ne,bro,jenom
pisan,e	pisane
komunikacijski,h	komunika,cijskih
šum,ova	šu,mova
kontradiktornost,i	kontradik,tor,nosti
savremen,ih	savremenih
jednak,oj	jedna,koj
lingvistički,m	lingvi,stičkim
mulj,em	mul,jem
blato,m	bla,tom
nesavršenost,i	ne,savrš,enosti
naj,različit,ijih	najrazliči,tijih
glupost,i	gluposti
list,ovima	listovima
papirus,a	papi,rusa
naslov,a	naslova
savremen,om	savremenom
lenj,im	len,jim
glup,im	glu,pim
dragocen,o	dragocen,o
spot,ova	spo,tova
zatupljujući,h	za,tu,plju,jućih
elektronski,h	elektronskih
višestruk,e	višestruke
jezik,om	jezikom
roman,e	roman,e
izopačen,om	izo,pa,čenom
sunovraćen,om	su,nov,ra,ćenom
aušvic,a	au,š,vica
logoraš,a	logo,ra,ša
koncentracioni,m	koncentra,cionim
logor,ima	logo,rima
postojeći,m	postojećim
teror,a	tero,ra
lažljiv,og	laž,ljivog
složen,u	slož,enu
osetljiv,u	osetlji,vu
nov,ijoj	novi,joj
nejak,u	ne,jaku
miloševićev,og	miloševi,ćevog
ulični,h	u,ličnih
batinaš,a	ba,tina,ša
toljaga,ma	to,lja,gama
prolaznik,a	prola,z,nika
neidentifikovan,i	ne,identifikovani
crven,a	crvena
nacistički,m	naci,stičkim
civil,ima	civi,lima
povlašćen,a	povla,šć,ena
go,lo	go,lo
pokrovitelj,e	pokrovi,telje
položaj,ima	položa,jima
stran,oj	stranoj
ponos,a	pono,sa
obračun,i	obraču,ni
navijač,a	navijača
čitljiv,e	či,tlji,ve
naopak,o	na,opa,ko
vidljiv,i	vidljivi
stereotip,a	stereoti,pa
začaran,i	za,ča,rani
prostor,u	prostoru
strah,u	strahu
glad,i	gladi
nasilnički,h	nasil,ničkih
potpun,oj	potpu,noj
roman,a	romana
detektiv,a	detek,tiva
po,a	po,a
novinski,h	nov,inskih
intelekt,u	intelektu
brz,oj	brz,oj
šerlok,a	š,er,lo,ka
holms,a	hol,msa
herkul,a	her,kula
poaro,a	po,aro,a
junak,a	junaka
dipen,a	di,p,ena
roman,i	roman,i
trideseti,h	tridesetih
okean,a	oke,ana
nezbe,a	ne,zbe,a
marlo,a	mar,lo,a
roman,ima	romanima
uočljiv,a	uoč,ljiva
sudbina,ma	sudb,inama
crn,oj	cr,noj
senator,a	sena,tora
makarti,ja	ma,kar,tija
sadašnji,m	sadašnjim
pakt,a	pak,ta
jens,om	jen,som
stoltenberg,om	sto,l,ten,ber,gom
star,ije	starije
istomišljenik,a	isto,mišlj,enika
nemoć,i	ne,moći
vlastit,i	vla,stiti
demokratičnost,i	demokra,tič,nosti
bunt,a	bun,ta
bes,a	be,sa
vlastit,u	vlasti,tu
vaš,a	vaša
ličnost,ima	lič,nostima
iskustvo,m	iskustvom
predsednik,u	predsedniku
favorit,a	favori,ta
razvijen,oj	razvi,jenoj
naj,čuven,ija	naj,ču,ven,ija
fbi,-ja	f,bi,-,ja
uvod,u	u,vodu
huver,a	h,uve,ra
prijatelj,ima	prijateljima
nekontrolisan,og	nekontroli,sanog
dosije,a	do,sije,a
stanovnik,e	stanov,nike
senator,e	sena,tore
kongresmen,e	kongre,smene
martin,u	mar,tinu
luter,u	lu,teru
king,u	k,ingu
metoda,ma	metodama
nezakonit,e	nezakoni,te
pretres,e	pretre,se
dosije,e	do,sije,e
žargon,u	žar,gonu
dubok,a	dubo,ka
gangster,ima	gan,g,ste,rima
koren,a	korena
smenjiv,a	smen,ji,va
vučić,a	vučića
slikovit,iji	slikovi,tiji
korumpiran,i	koru,mpi,rani
đubre,ta	đu,bre,ta
progonitelj,i	pro,goni,telji
izabran,e	izabrane
čudo,m	ču,dom
čitalac,a	čitalaca
zemljin,og	zemlj,inog
šar,a	š,ara
ljosin,og	lj,os,inog
naslov,om	naslovom
pijur,a	pi,ju,ra
felisit,a	feli,si,ta
janake,a	jan,ak,ea
reketaš,a	rek,eta,ša
podnošljiv,u	podnoš,ljivu
zaplet,a	zaple,ta
smisaon,im	smi,sa,onim
ucenjivač,ima	u,cen,ji,va,čima
crtež,om	cr,tež,om
pauk,a	pau,ka
požar,a	požara
neugodnost,i	neu,god,nosti
ljubav,lju	ljubav,lju
roman,u	romanu
čuven,i	čuveni
ljosin,im	lj,os,inim
ljubitelj,ima	ljubi,teljima
sin,ovima	sin,ovima
običaj,u	običa,ju
sapunski,h	sa,pun,skih
bok,a	bo,ka
sin,u	sinu
fončitov,oj	fon,čit,ovoj
fončitov,e	fon,čit,ove
duh,om	du,hom
ljosin,oj	lj,os,inoj
ljosin,o	lj,os,ino
savremen,og	savremenog
peru,a	peru,a
rasparen,e	ras,par,ene
kućni,m	kuć,nim
papuča,ma	pa,pu,čama
viskonzin,u	vi,skon,z,inu
neuron,i	neuro,ni
autoimun,ih	auto,imu,nih
alchajmerov,om	al,cha,j,mer,ovom
demencija,ma	de,men,cijama
stub,a	stuba
zdrav,e	zdrave
paradoks,a	paradok,sa
mit,ova	mi,tova
ustaljen,o	ustal,jeno
kvalitet,a	kvaliteta
moždan,e	mož,dane
pospan,i	po,sp,ani
talas,a	talasa
dubok,i	dubo,ki
dubok,og	dubo,kog
pokret,ima	pokretima
povećan,u	povećanu
okean,u	oke,anu
svet,ove	svet,ove
čas,u	času
staž,a	staža
dušek,a	du,še,ka
zebald,a	ze,bal,da
saturnov,i	sa,tur,novi
prsten,ovi	prsten,ovi
zebald,u	ze,bal,du
besmislen,ih	besmisl,enih
vlastit,e	vlastite
putokaz,i	puto,ka,zi
valer,i	val,eri
monoton,e	mono,tone
knjiga,ma	knjigama
svaki,m	svakim
nepromenjen,og	nepromen,jenog
intenzitet,a	intenziteta
trend,ova	trendova
verzija,ma	verzi,jama
vulkan,om	vulkan,om
malkolm,a	m,alko,l,ma
lauri,ja	lau,rija
zenov,u	z,en,ovu
ital,a	i,tala
zvev,a	zve,va
grob,ovima	grob,ovima
ernest,a	er,ne,sta
sabat,a	sa,bata
bulgakov,a	bul,ga,kova
odsjaj,i	od,sja,ji
dugogodišnji,h	dugo,godišnjih
autor,a	autora
proživljen,og	pro,življ,enog
otpor,a	otpora
svest,i	svesti
vlastit,og	vlasti,tog
grad,ovi	gradovi
čas,ove	ča,sove
zemaljski,h	zemal,jskih
star,im	starim
trst,om	tr,stom
zen,a	z,ena
kozim,a	ko,zima
neuverljiv,a	neu,ver,ljiva
original,a	origin,ala
leopold,a	le,o,pol,da
blum,a	blu,ma
bled,u	ble,du
džojsov,og	džo,js,ovog
život,ima	živo,tima
detalj,u	detal,ju
jarbol,a	jar,bola
brodolom,a	bro,do,loma
prostor,i	prostori
pouzdan,a	pouz,dana
razvučenost,i	raz,vuč,enosti
koncept,a	koncepta
pisaći,m	pisa,ćim
papirnat,ih	papi,r,na,tih
jalov,om	jal,ovom
ključ,a	klju,ča
bezdan,u	be,zd,anu
avet,i	ave,ti
univerzum,a	univerzu,ma
model,i	modeli
čitaočev,og	čita,oče,vog
orijentir,i	orijen,tiri
zamišljen,og	zamišlj,enog
nojev,a	no,jeva
unos,a	unosa
čovekolik,i	čove,koliki
elektroencefalogram,a	elektro,en,ce,fal,ogra,ma
uređaj,i	uređaji
niz,a	niza
određen,oj	određenoj
komfor,a	kom,fora
mit,-a	mi,t,-,a
mašina,ma	maš,inama
potreba,ma	potrebama
pionirski,h	pioni,r,skih
univerzitet,u	univerzitetu
računar,a	računara
automat,u	auto,ma,tu
naj,rashlađen,ija	naj,ras,hla,đ,enija
preduslov,i	predu,slovi
