jeremić,a	jere,mić,a
diplomiran,i	diplomira,n,i
bogat,i	bogati
most,a	mosta
mihail,u	mihail,u
jovović,u	jov,ović,u
urednik,u	urednik,u
vijest,i	vije,sti
glava,ma	glava,m,a
komunistički,m	komunističk,i,m
vreme,nima	vremenim,a
neuspeh,a	n,eus,peh,a
izazov,i	izazov,i
nedelja,ma	nedelja,m,a
stvarnost,i	stvarnosti
loš,e	loše
slab,a	slab,a
nezaposlenost,i	nezaposlenosti
novčan,e	novčan,e
slab,om	slabo,m
stručnost,i	stručno,sti
ran,ijim	raniji,m
izveštaj,em	izveštaje,m
euleks,-om	0,,,1,,,2,,,3,,,4,,,5,e,ule,k,s,-,om
mustaf,a	mus,taf,a
nov,o	novo
transparens,i	transp,aren,s,i
internešenel,a	interne,šen,ela
naj,nov,ije	naj,novij,e
severni,m	severn,i,m
sastav,u	sastavu
bamir,om	bam,irom
topi,jem	topi,jem
američki,m	američkim
ambasador,om	ambasador,o,m
džon,om	džon,o,m
viters,om	vite,r,som
pravosudni,m	pravosu,dnim
izborni,m	izborni,m
fudbalski,h	fudbalski,h
balkan,om	balkan,o,m
fudbalski,m	fudbalski,m
liga,ma	liga,m,a
kvalifikacioni,h	kvalifikaci,onih
hrvat,a	hrvat,a
prevara,ma	preva,rama
namešten,ih	name,šteni,h
nemački,h	nemački,h
fenerbahče,a	fen,erba,h,äį,e,a
ulm,a	u,l,ma
igrač,a	igrača
genčlerbirligi,ja	gen,äį,ler,bir,ligij,a
džavdžavljev,ih	dža,v,dža,vlje,vih
sport,u	sportu
dokaz,e	dokaz,e
sportski,h	sportski,h
skandal,a	ska,nda,l,a
poverljiv,ih	pover,ljivih
sumnjiv,im	sumnjiv,i,m
utakmica,ma	utakmica,m,a
klupski,h	klu,pskih
brz,im	brzi,m
rasprostranjen,iji	rasprostranjen,iji
msp,-om	0,,,1,,,2,ms,p,-,om
predstavljen,i	predstavljeni
pravni,h	pravnih
usmen,e	usme,ne
argument,e	argument,e
jordan,a	jor,dana
integritet,a	integritet,a
pravo,m	pravom
miloševićev,a	milošević,eva
pravni,m	pravnim
naslednik,om	naslednik,o,m
integritet,u	integritet,u
odvojen,e	odvojen,e
suveren,e	suveren,e
usmen,og	usme,nog
sudski,m	sudski,m
proces,ima	procesima
rođak,a	rođ,aka
obzir,a	obzira
krivični,h	krivičnih
kriminalac,a	kriminala,c,a
kriminalistički,h	kriminalističk,i,h
nemoguć,a	nemoguć,a
otpadni,h	otpad,nih
priobalni,m	prio,baln,i,m
naj,izolovan,ijih	naj,izolovani,jih
zatvoren,ih	zatvoreni,h
dubina,ma	dubin,ama
kiseonik,a	kiseonika
kiseonik,om	kiseonik,o,m
sloj,u	sloj,u
osetljiv,o	osetljivo
poremećaj,e	poremećaj,e
ekosistem,a	ekosistem,a
neodrživ,e	neo,drživ,e
prinos,ima	prinosi,m,a
jevtin,ijim	jev,tini,jim
raširen,e	raš,iren,e
pesticid,a	pes,tici,d,a
priobalni,h	prio,baln,i,h
sliv,u	sliv,u
ulov,i	ulo,v,i
šlep,ovi	šle,povi
dopisnik,u	dop,isnik,u
setimes,-a	0,,,1,,,2,seti,mes,-,a
ribar,a	riba,r,a
šekip,a	å¡,ekipa
jalčin,a	jal,čina
obalski,h	obal,skih
imejl,om	ime,j,lom
projekt,i	projekti
odgovor,u	odgovoru
otpad,a	otpada
projekt,e	projekte
seoski,h	seosk,i,h
otpadni,m	otpad,nim
hranljiv,im	hranljiv,i,m
materija,ma	materija,m,a
organizam,a	organizama
preteran,og	prete,ranog
pogoršan,om	pogorša,nom
prečišćen,ih	preči,šćen,i,h
kanalizacion,ih	kanali,zaci,onih
nedomorodački,h	nedo,mor,oda,čkih
čvrst,og	čvrsto,g
azotni,h	azot,nih
fosforni,h	fosfor,nih
dunav,a	dunav,a
obalni,h	obal,nih
more,m	more,m
tri,ma	trima
protokol,ima	protokol,ima
istanbul,u	istan,bul,u
navod,ima	navodi,m,a
hranljiv,ih	hranljiv,i,h
industrijski,h	industrijskih
autor,i	autori
produktivnost,i	produktivnosti
reka,ma	reka,m,a
sam,o	samo
hemijski,h	hemijskih
zagađivač,a	zagađ,ivača
prisutnost,i	prisutno,sti
povećan,i	povećan,i
naftni,h	naft,nih
gasni,h	gas,nih
kvartal,u	kvart,alu
uvoznik,a	uvoz,nika
zadužen,ih	zadužen,i,h
kredit,i	krediti
udružen,i	udružen,i
uvoz,a	uvoz,a
prijem,a	prijem,a
plan,ovi	planovi
eps,-a	0,,,1,,,2,e,ps,-,a
generator,a	generator,a
kralj,a	kralja
abdulah,a	abd,ula,h,a
abdulaziz,a	abd,ulazi,z,a
konflikt,i	konflikt,i
dijalog,om	dijalog,o,m
tajlandski,m	taj,land,skim
nitj,om	nit,jom
pibulsongram,om	p,ibu,l,son,gram,o,m
abdulah,om	abd,ula,hom
gul,om	gul,o,m
predsedavajući,m	predsed,avajući,m
željko,m	želj,kom
komšić,em	kom,šić,e,m
bosanski,m	bosansk,i,m
sven,om	sve,nom
alkalaj,em	alka,laj,e,m
milorad,om	milorad,o,m
živković,em	živković,e,m
morski,h	morski,h
vezan,im	vezani,m
memorandum,u	memor,and,umu
glasač,e	glasa,äį,e
birač,i	birač,i
vladajući,m	vladajuć,i,m
glavni,m	glavni,m
opozicioni,m	opozici,onim
partija,ma	partija,m,a
birač,ima	birač,ima
veton,a	veto,na
suroi,ja	sur,o,ija
školovan,i	školovan,i
jednak,e	jednak,e
minimum,om	minimum,o,m
ugrožen,e	ugrožen,e
žestok,om	å¾,esto,kom
ahtisarijev,om	aht,isa,rije,vom
protest,ima	protest,ima
hašim,a	h,ašim,a
pokret,a	pokreta
građanski,m	građanski,m
siv,oj	siv,o,j
dubok,oj	duboko,j
habzburg,a	hab,zbu,rga
dominik,a	domini,k,a
muzičar,i	muzičar,i
andre,a	andre,a
roland,a	rola,nda
viljazon,a	vilj,azo,na
žak,a	žak,a
lusije,a	lus,ije,a
danijel,a	dani,jela
barenboim,a	bare,n,b,oim,a
program,ima	programima
specijalizovan,om	specijalizovan,o,m
vrhunski,h	vrhunski,h
sprortist,a	spro,rti,sta
igra,ma	igrama
slovenka,ma	sloven,kama
igrač,em	igrač,e,m
turnir,u	turnir,u
komesar,a	kome,sara
katastrofa,ma	katastrofa,m,a
uveren,a	uveren,a
borisov,u	boris,ovu
ubedljiv,e	ubedljiv,e
kabinet,u	kab,inet,u
manuel,a	manu,ela
socijalistički,h	socijalistički,h
ep,-a	0,,,1,e,p,-,a
odgovor,i	odgovori
vezan,a	vezana
kvalifikovanost,i	kvalifikovan,osti
ltd,-om	l,t,d,-,om
nezakonit,ih	neza,konit,i,h
koordinator,i	koordinat,ori
rok,a	roka
butiljone,a	but,ilj,one,a
ingrid,u	ing,rid,u
nov,oj	novoj
ekološki,h	ekoloških
gerb,-a	0,,,1,,,2,,,3,ger,b,-,a
dužnost,i	dužnosti
zamenik,u	zamenik,u
general,u	general,u
anju,u	anju,u
angelov,u	ange,lov,u
ilijan,a	ilija,na
mihov,a	mih,ova
profesor,a	profesora
član,om	članom
haris,om	hari,som
silajdžić,em	sila,j,dži,ćem
red,ovima	redov,ima
butmir,u	but,miru
političar,ima	političari,m,a
valentin,a	valent,ina
inck,a	inc,k,a
suveren,u	suveren,u
poziv,i	poziv,i
stranački,m	strana,čkim
državni,m	državnim
ljutit,a	ljut,ita
pokušaj,em	pokušaj,e,m
nevladin,a	nev,ladin,a
kongres,a	kongres,a
bošnjački,h	bo,šnja,čkih
davutoglu,a	dav,uto,glu,a
investicioni,m	investicioni,m
konj,a	konj,a
hleb,a	hleb,a
višenedeljni,h	višen,edel,jnih
jak,ih	jaki,h
obližnji,m	obli,žnj,i,m
nikicin,om	nik,icin,o,m
kuća,ma	kuća,m,a
čuvar,a	čuva,r,a
vrt,a	vrta
bazen,a	bazen,a
dan,u	dan,u
kopnen,a	kop,nena
čovek,a	čoveka
distanca,ma	distanc,ama
jak,e	jake
zub,e	zub,e
okolni,h	okoln,i,h
travnat,o	trav,nato
dug,im	dug,i,m
šetnja,ma	šet,njama
restoran,a	restoran,a
čuven,og	čuven,o,g
mlad,og	mlado,g
mužjak,a	muž,jaka
udvarač,a	u,dva,rača
sam,og	samog
pažljiv,i	pažljiv,i
prgav,i	p,rga,v,i
rep,om	repo,m
sečivo,m	seč,ivom
rotor,a	roto,r,a
poplava,ma	pop,lava,m,a
nacrt,e	nac,rte
premijerov,im	premijer,ovim
vladajući,h	vladajuć,i,h
taričanu,om	tari,čan,u,om
renov,e	renov,e
taričanuov,u	tari,čan,u,ovu
naoružan,om	naoružan,o,m
bacač,a	baca,äį,a
udaljen,o	udaljeno
prozor,e	prozor,e
pazar,u	paz,aru
incident,u	incident,u
širok,u	širok,u
ekstremistički,h	ekstrem,istički,h
naoružan,e	naoružan,e
nemir,e	nemir,e
stanovništvo,m	stanovništvo,m
krasnići,ju	kras,nić,iju
naoružan,oj	naoružan,o,j
arben,a	arb,ena
džaferi,ja	dža,feri,j,a
krasnići,ja	kras,nić,ija
razni,h	raznih
diktator,a	dikt,atora
nesposobnost,i	nes,posobnosti
klos,i	klo,s,i
gradonačelnik,a	gradonačelnika
razlog,e	razloge
nacrt,a	nac,rta
nasilje,m	nasilje,m
cilj,evima	ciljevima
bloger,i	blo,geri
zdravstven,og	zdravstvenog
osiguravajući,m	osiguravajuć,i,m
raed,u	r,a,edu
arafat,u	ara,fat,u
osnivač,u	osnivač,u
podsekretar,a	podse,kreta,r,a
miroljubiv,e	miro,ljubi,ve
huligan,i	h,uli,gani
stadion,ima	stadion,ima
zatvor,om	zatvor,o,m
okupljen,ima	okupljen,ima
aerodrom,ima	aerodrom,ima
automobil,e	automobil,e
rumun,i	rumuni
komentator,a	komenta,tora
arafat,a	ara,fat,a
nepovezan,i	nepo,vezani
zahtev,i	zahtevi
kemal,a	k,emal,a
burkaj,a	bur,kaj,a
egzil,a	egz,ila
aerodrom,u	aerodrom,u
kritičar,a	kritičar,a
kurdistan,a	kur,dist,ana
kurdski,h	kur,dski,h
raširen,ih	raš,iren,i,h
miroljubiv,u	miro,ljubi,v,u
bozjelov,im	bo,z,jelo,vim
mir,u	miru
miroljubiv,im	miro,ljubi,vim
manjkav,a	manj,kava
taksim,u	taksi,m,u
kurd,ima	kur,dima
kurd,a	kur,d,a
realnost,i	realnosti
vakuum,a	vaku,uma
proces,om	procesom
vojvođanski,h	vojvođansk,i,h
mađar,a	mađar,a
ujedinjen,u	ujedinjen,u
zakon,e	zakon,e
plav,a	plava
crven,im	crveni,m
pruga,ma	pruga,m,a
žut,e	å¾,ute
državnost,i	državno,sti
dom,ovima	dom,ovima
organizovan,im	organizovani,m
kriminal,om	kriminal,o,m
benzinski,h	ben,zin,skih
gigant,a	g,iga,nta
let,ova	leto,v,a
star,om	staro,m
terminal,u	terminal,u
parking,e	park,inge
putnik,e	putnik,e
avionski,h	avion,skih
kabl,ova	kab,lova
izmir,u	izmi,r,u
dvostruk,im	dvostruk,i,m
rizik,om	rizikom
dvostruk,a	dvostruk,a
nered,e	nere,d,e
trend,a	trend,a
posledica,ma	posledicama
nedeljnik,u	nedelj,niku
euleks,-a	0,,,1,,,2,,,3,,,4,,,5,e,ule,k,s,-,a
nemir,ima	nemir,ima
nered,ima	nere,dima
nemir,a	nemir,a
rizik,a	rizika
uhapšen,ima	uhapšen,ima
pregovarač,i	pregovara,äį,i
naj,nov,ijih	naj,novij,i,h
admiral,om	admi,ralo,m
heri,jem	her,ijem
ulrih,om	u,l,riho,m
komandant,om	komandant,o,m
združen,ih	zdr,užen,i,h
napulj,u	napu,lju
šestočlan,e	šesto,član,e
frenk,a	fre,nka
vizner,a	viz,nera
volfgang,a	vol,f,gan,g,a
išinger,a	iši,nge,r,a
razgovor,ima	razgovori,m,a
završen,im	završen,i,m
loš,a	loša
rukovodstvo,m	rukovodstvo,m
london,u	london,u
aspekt,e	aspekte
slab,iji	slabij,i
kurs,a	kursa
dinar,a	dinara
imenitelj,a	imeni,telja
radovan,a	radovan,a
jelašić,a	jela,šić,a
razlika,ma	razlika,m,a
jelašićev,om	jela,šić,evom
proizvod,ima	proizvodima
obojen,i	oboj,eni
kamion,i	kam,ioni
porast,om	porastom
jeftin,og	jeftin,o,g
devetocifren,e	devet,oci,fre,ne
pismenost,i	pismenost,i
transparentnost,i	transparentnost,i
vladin,og	vladin,o,g
kompjuterski,h	kompjuter,skih
starosni,h	staros,nih
čas,ovi	časov,i
vindovs,u	vin,dov,s,u
vord,u	vor,d,u
eksel,u	eks,elu
osnov,e	osnove
it,-a	0,,,1,i,t,-,a
kompjuter,ima	kompjuter,ima
kompjuter,u	kompjuter,u
instruktor,e	instru,ktor,e
prostorija,ma	prostorijama
unutrašnjost,i	unutrašnjosti
pristup,a	pristupa
ugovor,e	ugovore
udar,u	udar,u
urađen,o	urađen,o
provajder,a	prov,ajde,r,a
trud,a	trud,a
čin,ovi	čino,v,i
prav,im	pravim
islam,om	islam,o,m
motiv,e	motiv,e
okolnost,i	okolnosti
neprihvatljiv,u	neprihvatljiv,u
islam,a	islam,a
nametanje,m	name,tanjem
nevin,ih	nev,inih
korist,i	koristi
nadzor,u	nadzor,u
cerić,a	cer,ića
imam,ima	imam,ima
cerićev,a	cer,ićev,a
praznik,a	praznik,a
čin,ove	čino,ve
čestit,im	česti,tim
islamski,m	islamsk,i,m
bošnjak,a	bo,šnjak,a
vernik,e	vern,ike
islam,u	islam,u
devijacija,ma	devijacija,m,a
amerikanac,a	amerikan,aca
musliman,ima	musliman,ima
tražilac,a	tražil,aca
imigrant,i	imi,grant,i
sunarodnik,a	sun,arodni,k,a
tunis,a	tun,isa
afrički,h	afričk,i,h
azijski,h	azijsk,i,h
azilant,e	azila,nte
zabrinut,o	zabrinut,o
poznat,om	poznato,m
sekretarijat,a	sekretarijat,a
učenik,a	učenika
čas,ovima	časov,ima
komesarijat,a	kome,sar,ijat,a
neiskorišćen,e	n,eis,korišćene
solidarnost,i	solidarnost,i
protest,u	protest,u
zapaljiv,u	zapa,ljivu
okolnost,ima	okolnostima
avganistan,a	avg,anist,ana
most,u	most,u
mešovit,a	mešovit,a
kfor,-om	0,,,1,,,2,,,3,k,for,-,om
incident,a	incident,a
miroljubiv,oj	miro,ljubi,voj
napetost,i	nap,eto,sti
višemesečni,h	više,mesečn,i,h
sever,a	sever,a
kamion,a	kam,iona
punkt,a	pun,kta
izolovan,o	izolovan,o
ninić,a	nin,ića
miroljubiv,o	miro,ljubi,v,o
međuetnički,h	među,etničkih
nerešen,a	nere,šena
strpljenje,m	str,pljen,jem
komitet,a	komiteta
svemir,a	svem,ira
telefon,i	telefon,i
bolnica,ma	bolnic,ama
prunariju,a	pru,nari,j,u,a
salcburg,u	sal,c,burg,u
istraživač,a	istraživača
slučaj,eve	slučajeve
naj,nov,iju	naj,novij,u
poremećaj,a	poremećaja
pacijentov,a	pacijent,ova
naučnik,a	naučni,k,a
primerak,a	primerak,a
nepoznat,a	nepoznat,a
inostranstvo,m	inostranstvo,m
okvir,a	okvira
standard,e	standarde
ministrov,im	ministr,ovim
star,oj	staro,j
parivodićev,im	pari,vodi,ćev,i,m
kreditor,a	kredit,ora
dug,ova	dugov,a
ubrzavanje,m	ubrza,vanjem
miodrag,a	miodrag,a
privatizovan,ih	privatiz,ovanih
paket,a	paket,a
tender,a	tende,r,a
predviđen,im	predviđeni,m
špediterski,h	å¡,pedi,tersk,i,h
transportni,h	transport,nih
postkomunistički,h	post,komunističk,i,h
mesec,u	mesec,u
zrelost,i	zre,losti
stepen,u	stepenu
kapital,om	kapital,o,m
sastojak,a	sastoj,aka
resurs,e	resurse
prenategnutost,i	pren,ateg,nuto,sti
saveznik,e	savezni,k,e
strateški,m	strateški,m
obostran,oj	obo,strano,j
behtel,u	b,e,hte,l,u
animozitet,i	anim,ozit,eti
sam,ih	samih
spor,om	sporo,m
zaliv,a	zali,v,a
kosorov,a	koso,rova
arbitražni,m	arbitraž,nim
upućivanje,m	upućiva,njem
izgubljen,o	izgubljen,o
prevazilaženje,m	prevazila,ženje,m
zategnut,i	zate,gnuti
osetljiv,oj	osetljivo,j
ivanov,a	ivanov,a
zamah,u	zama,h,u
obrt,u	obr,t,u
odvojen,u	odvojen,u
počast,ima	poč,astima
sejdijuov,og	s,ej,diju,ovog
portparol,a	port,paro,l,a
džavit,a	dža,vita
bećiri,ja	beć,iri,j,a
narod,e	narod,e
bojan,a	boja,na
milković,a	mil,kovića
ina,-e	0,,,1,,,2,ina,-,e
neosnovan,e	neo,snovan,e
mmf,-om	0,,,1,,,2,mm,f,-,om
zahtev,ima	zahtevima
produžen,i	produžen,i
investitor,e	investitor,e
resurs,ima	resursima
talas,u	talas,u
blag,im	blag,i,m
naj,bogat,ijih	najbo,gati,jih
istorijski,h	istorijskih
sindikat,e	sindikat,e
industrijalac,a	industrija,laca
poreski,h	poreski,h
paket,om	paket,o,m
aranžman,u	aranžman,u
dug,ih	dug,i,h
jedinstven,om	jedinstveno,m
budžet,u	budžet,u
sindikat,i	sindikat,i
jedinstven,oj	jedinstveno,j
lek,ovi	lekovi
pdv,-a	0,,,1,,,2,pd,v,-,a
jedinstven,a	jedinstvena
uticaj,a	uticaja
izdavač,a	izdavač,a
koncept,u	konceptu
tim,ove	timov,e
imunitet,a	imunitet,a
bos,ovima	bos,ovima
tročlan,oj	tro,člano,j
ubedljiv,og	ubedljivo,g
pobednik,a	pobednik,a
mafijaški,m	m,afija,škim
plamen,om	pla,menom
galev,im	gale,vim
angel,om	ange,lom
hristov,im	hristov,i,m
čuven,om	čuven,o,m
ozloglašen,i	o,zlog,laše,n,i
biznismen,i	biznis,meni
jugozapad,u	jugozapad,u
mafijaš,a	m,afija,å¡,a
šef,u	šef,u
firma,ma	firma,m,a
biznismen,ima	biznis,menim,a
zlatomir,u	zlat,omir,u
petkov,a	petk,ova
čvrst,i	čvrst,i
tvrdnja,ma	tvrdnj,ama
dans,-a	0,,,1,,,2,,,3,dans,-,a
boris,u	boris,u
velčev,u	vel,čev,u
petkov,u	petk,ovu
cvetanov,a	cvet,anova
tanov,a	tanova
laž,ima	laži,m,a
kleveta,ma	kle,veta,m,a
velčevljev,oj	vel,čev,ljev,o,j
optužba,ma	optuž,bama
glasanje,m	glasanj,e,m
zbunjen,i	zbu,njeni
hancesti,ju	han,ces,tiju
kišinjev,a	kiš,inje,v,a
glasač,i	glasa,äį,i
tabor,a	tabo,r,a
vidljiv,a	vidljiv,a
monitoring,a	monitoring,a
komplikovan,o	komplikovan,o
kanal,e	kanal,e
čist,i	čisti
niz,om	nizo,m
masačusets,a	masa,äį,use,t,sa
nepravilnost,i	nepravilno,sti
namešten,u	name,šten,u
napet,o	nap,eto
širok,ih	širok,i,h
prenos,a	prenosa
ohr,-a	0,,,1,,,2,ohr,-,a
mir,a	mira
privremen,a	privremen,a
zvaničnik,e	zvaničnik,e
prag,u	prag,u
osoblje,m	osoblje,m
mostar,u	mosta,r,u
grad,ova	gradova
maksimum,a	maksimum,a
kostas,om	kost,aso,m
karamanlis,om	kara,man,lis,o,m
monitor,a	monitor,a
osnovni,m	osnovnim
srednji,m	srednjim
ćiril,a	äĩ,iri,l,a
dabi,ju	dabi,j,u
fond,u	fond,u
fond,om	fond,o,m
dužnički,h	dužni,čkih
nedaća,ma	ned,aća,m,a
iznos,a	iznos,a
efsf,-a	0,,,1,,,2,,,3,e,f,s,f,-,a
budžet,om	budžet,o,m
dogovoren,a	dogovore,na
obim,u	obim,u
esm,-a	0,,,1,,,2,esm,-,a
prilog,a	prilog,a
doprinos,u	doprinos,u
vašington,u	vašington,u
cent,i	cent,i
izložen,om	izloženo,m
mlađan,a	mlađ,ana
dinkić,a	din,kić,a
dinkićev,og	din,kić,evog
slab,u	slab,u
dinkićev,ih	din,kić,evi,h
sednica,ma	sednic,ama
tadićev,i	tadi,ćev,i
visok,u	visoku
preduslov,a	preduslov,a
neiskren,a	n,eis,kren,a
sledeći,m	sledećim
propust,om	propust,o,m
blag,og	blago,g
akter,a	aktera
proces,i	procesi
prioritet,ima	prioritet,ima
blag,i	blag,i
davutogluov,im	dav,uto,glu,ovim
angažman,om	angaž,mano,m
balansiran,im	balans,irani,m
inicijativa,ma	inicijativa,m,a
posredovanje,m	posredovan,jem
sad,-u	0,,,1,,,2,sad,-,u
potencijal,om	potencijal,o,m
mobiltel,a	mobil,tela
operater,a	operat,era
naslovljen,oj	naslov,ljeno,j
savremen,u	savremen,u
praćen,u	praćen,u
odgovarajući,m	odgovarajućim
veština,ma	veština,m,a
pokretač,em	pokreta,čem
prezasićen,ih	prez,asi,ćeni,h
povećan,om	povećano,m
bdp,-u	0,,,1,,,2,b,d,p,-,u
ocena,ma	ocena,m,a
metod,i	metodi
metod,a	metoda
vaučer,i	v,auč,eri
nerešen,i	nere,šeni
društven,oj	društvenoj
akcijski,h	akcij,skih
sektor,e	sektor,e
signal,u	signal,u
vagon,i	vag,oni
slep,im	slep,i,m
šezdeseti,h	šezdesetih
jevtin,e	jev,tine
kratkovid,a	kratko,vida
deonica,ma	deo,nicama
čitav,om	čitavo,m
voz,om	voz,o,m
razvijenost,i	razvijenost,i
okup,u	okup,u
avion,i	avion,i
primer,u	primeru
rat,ove	ratov,e
voz,ovima	voz,ovima
brz,e	brz,e
navodni,m	navod,nim
tretman,u	tretmanu
umanjivanje,m	umanj,ivanjem
železnički,m	železničk,i,m
saobraćaj,em	saobraćaj,e,m
ekspert,e	ekspert,e
majdan,i	maj,dani
nepostojeći,h	nepos,toje,ćih
jurišnik,a	juri,šni,k,a
lopov,a	lop,ova
direktor,i	direktor,i
džep,ova	dže,pova
koncert,i	koncert,i
estradni,h	estra,dnih
aranžman,i	aranžman,i
kondukter,e	kon,dukt,ere
skretničar,e	skret,ničar,e
polomljen,a	polo,mljen,a
lopov,i	lop,ovi
nabavljač,i	nabav,ljač,i
šraf,ove	å¡,raf,ove
teg,ove	tego,ve
čekaonica,ma	čeka,onica,m,a
postaja,ma	postaj,ama
jeziv,u	jezi,v,u
krov,a	krov,a
tip,ovi	tipovi
start,u	start,u
leone,a	leo,ne,a
zapad,u	zapadu
odsustvo,m	odsustvo,m
zadovoljstvo,m	zadovoljstvo,m
medijski,h	medijski,h
vila,ma	vila,m,a
jahta,ma	j,aht,ama
skupocen,im	skupo,ceni,m
automobil,ima	automobil,ima
nedefinisan,ih	nede,finisan,i,h
lik,ova	likova
uređen,ih	uređen,i,h
rashod,e	ras,hod,e
način,u	načinu
naveden,e	navedene
odgovor,a	odgovora
uređen,im	uređen,i,m
donošenje,m	donošenje,m
serotonin,a	ser,oton,ina
ran,im	ranim
deficit,ima	deficit,ima
hormon,a	hormon,a
miš,evima	mišev,ima
miš,eva	mišev,a
neuron,a	neuron,a
hormon,om	hormon,o,m
krv,i	krvi
tori,jem	torije,m
takumi,jem	tak,umi,jem
miš,evi	mišev,i
brk,ove	b,rkov,e
brk,ova	b,rkov,a
istraživač,ima	istraživači,m,a
serotoninski,h	ser,oton,inskih
receptor,a	receptora
lek,ove	lekov,e
serototnin,a	ser,oto,tni,na
star,i	stari
zanimljiv,iji	zanimljivi,j,i
test,om	testo,m
kavez,a	kav,eza
kavez,u	kav,ezu
jedinka,ma	jedink,ama
izražen,ijim	izraženij,i,m
neartikulisan,ih	near,tikul,isanih
zvuk,ova	zvuk,ova
simptom,e	simptom,e
anksioznost,i	anksioznosti
takumi,ja	tak,umi,j,a
senzacionalistički,m	senz,acion,alističk,i,m
genetski,m	genetski,m
mutacija,ma	mutacij,ama
poremećaj,ima	poremećaji,m,a
tip,a	tipa
višestruk,oj	višestruko,j
jezik,a	jezika
poznat,oj	poznato,j
nacist,a	naci,sta
hitlerov,e	hit,ler,ove
naš,em	našem
vreme,nu	vremenu
klempererov,a	kle,mper,erova
reklamni,h	reklam,nih
neograničen,u	neo,graničen,u
nesavladiv,u	nes,avl,adi,v,u
lažljiv,e	laž,ljive
nebrojen,om	neb,rojen,o,m
pisan,e	pisane
komunikacijski,h	komunikacij,skih
šum,ova	šum,ova
kontradiktornost,i	kontra,diktor,nosti
savremen,ih	savremenih
jednak,oj	jednako,j
lingvistički,m	lingvističk,i,m
mulj,em	mul,jem
blato,m	bla,tom
nesavršenost,i	nes,avršen,osti
naj,različit,ijih	naj,različiti,jih
glupost,i	glup,osti
list,ovima	listov,ima
papirus,a	papir,usa
naslov,a	naslov,a
savremen,om	savremenom
lenj,im	len,jim
glup,im	glup,i,m
dragocen,o	dragocen,o
spot,ova	spot,ova
zatupljujući,h	zat,uplj,ujući,h
elektronski,h	elektronskih
višestruk,e	višestruk,e
jezik,om	jezikom
roman,e	roman,e
izopačen,om	izo,p,ačen,o,m
sunovraćen,om	sun,ovra,ćeno,m
aušvic,a	a,u,å¡,vica
logoraš,a	logor,aša
koncentracioni,m	koncentraci,onim
logor,ima	logor,ima
postojeći,m	postojećim
teror,a	teror,a
lažljiv,og	laž,ljivog
složen,u	složen,u
osetljiv,u	osetljiv,u
nov,ijoj	novij,o,j
nejak,u	n,eja,k,u
miloševićev,og	milošević,evog
ulični,h	uli,čnih
batinaš,a	bat,ina,å¡,a
toljaga,ma	tol,jag,ama
prolaznik,a	prolaz,nika
neidentifikovan,i	ne,identifikovani
crven,a	crvena
nacistički,m	naci,stičkim
civil,ima	civili,m,a
povlašćen,a	povla,šćen,a
go,lo	golo
pokrovitelj,e	pokr,ovit,elje
položaj,ima	položaj,ima
stran,oj	strano,j
ponos,a	pono,s,a
obračun,i	obračun,i
navijač,a	navi,jača
čitljiv,e	čit,ljive
naopak,o	nao,pak,o
vidljiv,i	vidljivi
stereotip,a	stereotip,a
začaran,i	zač,aran,i
prostor,u	prostoru
strah,u	strah,u
glad,i	glad,i
nasilnički,h	nasil,ničkih
potpun,oj	potpuno,j
roman,a	romana
detektiv,a	detekt,iva
po,a	po,a
novinski,h	novin,skih
intelekt,u	intelektu
brz,oj	brzo,j
šerlok,a	å¡,erl,oka
holms,a	hol,m,sa
herkul,a	her,kula
poaro,a	po,aro,a
junak,a	junak,a
dipen,a	dip,ena
roman,i	roman,i
trideseti,h	trideset,i,h
okean,a	oke,ana
nezbe,a	nez,b,e,a
marlo,a	mar,loa
roman,ima	roman,ima
uočljiv,a	uočljiv,a
sudbina,ma	sud,bina,m,a
crn,oj	crnoj
senator,a	sen,atora
makarti,ja	makar,tija
sadašnji,m	sadašnji,m
pakt,a	pak,t,a
jens,om	jen,som
stoltenberg,om	stol,ten,berg,o,m
star,ije	starije
istomišljenik,a	istom,išlje,nika
nemoć,i	nemo,äĩ,i
vlastit,i	vlastit,i
demokratičnost,i	demokrati,čnosti
bunt,a	bun,t,a
bes,a	bes,a
vlastit,u	vlastit,u
vaš,a	vaša
ličnost,ima	ličnosti,m,a
iskustvo,m	iskustvom
predsednik,u	predsedniku
favorit,a	f,avo,rita
razvijen,oj	razvijeno,j
naj,čuven,ija	najč,uven,ija
fbi,-ja	0,,,1,,,2,f,b,i,-,ja
uvod,u	uvod,u
huver,a	h,uver,a
prijatelj,ima	prijateljima
nekontrolisan,og	neko,ntrolisan,o,g
dosije,a	dos,ije,a
stanovnik,e	stanovnik,e
senator,e	sen,ator,e
kongresmen,e	kongres,mene
martin,u	martin,u
luter,u	lut,eru
king,u	king,u
metoda,ma	metodama
nezakonit,e	neza,konit,e
pretres,e	pretr,ese
dosije,e	dos,ije,e
žargon,u	žar,gon,u
dubok,a	dubok,a
gangster,ima	gan,g,steri,m,a
koren,a	korena
smenjiv,a	smen,jiva
vučić,a	vučića
slikovit,iji	slik,oviti,j,i
korumpiran,i	koru,mpi,rani
đubre,ta	đubr,eta
progonitelj,i	prog,onit,elji
izabran,e	izabran,e
čudo,m	čud,o,m
čitalac,a	čitalac,a
